vehicle_id,batch_id,temperature,voltage,charge_cycles,depth_of_discharge,fast_charge_frequency,current,state_of_charge,state_of_health,internal_resistance,ambient_temperature,battery_age_months,health_score,rul_days,thermal_stress_index,failure_risk,maintenance_due
EV-F8C5A56B,BATCH_D,32.05,406.24,927,55.98,6,194.11,28.3,80.02,49.07,17.41,57,61.74,738,25.62,Medium,No
EV-88E8814D,BATCH_D,52.6,409.35,919,70.84,3,137.64,49.69,89.09,33.55,40.04,67,55.68,725,12.56,High,No
EV-F633DF8E,BATCH_D,35.37,385.65,1427,89.38,3,156.2,22.26,82.6,44.09,28.82,105,57.5,611,6.55,High,No
EV-52AAF87E,BATCH_D,27.19,381.01,994,76.9,3,131.31,23.41,85.48,43.73,21.18,78,65.79,865,6.01,Medium,No
EV-FD00CF1E,BATCH_A,43.73,403.28,886,56.31,3,247.39,36.39,89.32,34.95,31.19,51,64.7,867,12.54,Medium,No
EV-356089CC,BATCH_C,46.43718118105234,409.57,1521,73.46,7,15.42,39.26,70.0,64.82850665983713,22.11,73,40.59,357,48.65,High,Yes
EV-651DF5E4,BATCH_A,44.97,389.0,773,58.27,5,65.17,36.87,88.71,34.29,35.89,44,63.33,876,13.62,Medium,No
EV-0D1EB843,BATCH_B,53.06,409.03,579,75.08,7,-96.36,37.0,83.92,48.1,42.44,38,50.48,666,21.24,High,No
EV-69C7F426,BATCH_B,46.33,401.74,594,58.57,7,-42.62,67.16,86.31,42.04,40.41,42,59.53,756,11.84,High,No
EV-9AAC26D0,BATCH_A,50.02,400.14,1419,59.77,3,-66.44,83.49,82.44,46.7,39.14,111,45.11,507,10.88,High,Yes
EV-A19377C4,BATCH_C,65.0,383.52,1753,94.98,6,41.57,36.98,70.0,57.20079292547814,43.11,116,13.74,50,38.31,Critical,Yes
EV-68674A03,BATCH_C,45.46628969309711,406.48,1227,70.97,7,171.13,70.57,78.07295078568742,55.539301705786244,24.25,48,48.23,551,42.43,High,Yes
EV-E14B82A2,BATCH_B,37.17,397.37,1252,68.79,0,-89.04,43.09,89.43,31.06,22.82,94,71.73,883,3.59,Medium,No
EV-77ABEDEE,BATCH_D,45.95,390.13,1039,84.35,7,45.45,70.65,81.88,45.67,31.52,72,46.23,574,28.86,High,Yes
EV-EEF95510,BATCH_D,32.28,394.65,832,91.26,5,66.85,64.93,85.84,42.32,20.08,58,67.44,849,18.3,Medium,No
EV-C6635186,BATCH_A,55.04,402.93,871,68.56,1,187.02,36.2,93.19,26.45,43.36,67,59.72,818,5.84,High,No
EV-CD567705,BATCH_B,37.38,400.0,173,77.74,7,43.28,54.15,87.69,36.95,26.2,1,75.12,1035,22.36,Medium,No
EV-D6149F05,BATCH_A,25.65,388.24,1148,93.99,6,-143.14,76.92,84.37,41.87,15.36,68,61.24,726,18.01,Medium,No
EV-B77F8728,BATCH_D,52.78,387.23,1377,77.89,1,-49.03,44.81,89.99,33.74,42.54,103,53.44,625,5.12,High,No
EV-2405B7A6,BATCH_D,36.2,400.92,361,63.5,6,181.22,25.64,88.95,37.04,28.77,10,76.53,1065,13.0,Medium,No
EV-16F98456,BATCH_A,36.08,399.1,389,81.63,6,-116.93,79.17,87.15,41.38,26.32,11,78.29,1036,17.08,Medium,No
EV-28897B99,BATCH_C,47.74428743463641,400.77,1305,75.51,4,-41.56,84.69,80.45490135952016,44.56901780153472,21.89,72,51.94,585,32.32,High,No
EV-9A40B409,BATCH_C,63.04650560091753,391.95,579,53.46,6,-85.02,36.83,80.8347423299728,37.28729839621828,37.57,2,42.09,602,44.58,High,Yes
EV-A28535F8,BATCH_B,25.98,405.16,1302,65.33,5,157.6,86.84,80.0,50.13,16.61,101,56.99,627,14.06,High,No
EV-53372CF1,BATCH_D,46.86,393.52,1405,60.27,0,71.22,46.28,91.39,28.79,34.02,99,63.21,774,3.21,Medium,No
EV-D482A894,BATCH_B,28.76,403.94,1393,82.09,6,-117.18,30.8,79.72,53.53,17.57,87,52.22,569,19.58,High,No
EV-0D0BC28B,BATCH_B,31.74,408.29,1377,70.01,5,154.54,27.16,81.72,49.5,25.82,94,58.32,687,8.88,High,No
EV-F45C14E7,BATCH_A,41.83,383.1,546,54.03,7,71.69,61.78,84.17,42.96,31.71,23,62.54,819,20.24,Medium,No
EV-2469737F,BATCH_C,43.359604307495395,382.54,1800,90.55,4,212.08,88.47,76.86267976511257,55.03840058959417,23.76,110,44.56,396,24.5,High,Yes
EV-9F3C70E2,BATCH_C,33.71590068347003,392.63,1163,71.79,6,-119.23,37.62,78.3933120796421,49.65861632905694,16.9,34,60.15,717,29.43,Medium,No
EV-56D4E468,BATCH_B,36.17,404.12,509,64.83,6,-16.11,77.08,87.59,34.72,24.97,38,75.54,1026,19.6,Medium,No
EV-E7DEC6DB,BATCH_B,36.15,391.95,670,64.36,3,143.95,64.3,88.91,34.56,29.37,38,76.9,1021,6.78,Medium,No
EV-48215F37,BATCH_B,48.42,383.42,734,75.37,4,86.89,58.19,89.49,38.29,39.49,41,60.59,807,11.16,Medium,No
EV-989502A8,BATCH_A,36.06,400.79,1402,86.85,3,168.26,48.64,81.27,47.88,28.15,93,58.67,686,7.91,High,No
EV-32A50337,BATCH_D,29.12,392.69,409,66.96,3,29.63,61.86,91.27,31.45,22.58,17,82.9,1166,6.54,Low,No
EV-9D80FEB9,BATCH_D,44.22,390.79,1125,90.3,6,64.76,64.67,87.11,37.57,31.31,68,53.83,689,22.59,High,No
EV-9F260D1B,BATCH_A,31.12,396.9,333,79.03,5,108.7,87.68,91.45,34.37,19.99,13,81.1,1110,16.7,Low,No
EV-02BDAD8B,BATCH_C,32.367785515049064,395.32,1800,73.35,4,82.21,60.27,74.67657767537568,56.205899565401474,15.32,101,52.06,496,21.31,High,No
EV-C3BDB01A,BATCH_B,27.3,408.85,590,55.22,7,226.27,29.92,87.22,40.77,18.14,44,73.07,955,18.32,Medium,No
EV-E8EBC518,BATCH_C,44.55683052675321,382.93,1057,82.49,5,30.98,24.7,75.22819991953091,52.44969917277714,30.63,43,53.19,602,20.89,High,No
EV-6402EDF0,BATCH_B,39.87,392.79,1602,70.79,2,169.1,64.08,84.53,42.57,31.56,119,55.9,631,6.23,High,No
EV-CF61742B,BATCH_B,27.02,385.92,1243,76.65,6,5.53,69.33,81.45,49.1,15.88,81,55.32,644,19.49,High,No
EV-1A67B7B9,BATCH_B,49.36,390.97,502,58.87,1,-104.42,66.95,95.68,27.25,38.99,35,71.94,1038,5.18,Medium,No
EV-744FF21C,BATCH_D,44.21,390.44,1014,88.05,6,96.95,76.96,83.48,48.44,33.34,67,52.26,639,19.02,High,No
EV-CA3BC9ED,BATCH_C,52.17463269309991,387.16,1800,55.26,5,-0.68,29.9,76.31290037162313,54.45753699292766,35.16,117,31.51,259,25.52,Critical,Yes
EV-C59CC8D9,BATCH_B,30.54,405.26,987,77.87,7,196.21,86.63,83.92,42.43,23.67,71,61.97,729,13.74,Medium,No
EV-7B9839CB,BATCH_D,53.96,394.85,353,80.81,6,16.25,78.79,90.88,28.67,43.91,17,58.36,871,17.59,High,No
EV-62D62EDA,BATCH_D,46.09,380.98,344,60.12,0,-34.53,74.65,100.0,15.0,38.88,21,82.68,1254,1.8,Low,No
EV-CED8846C,BATCH_D,39.86,396.29,1151,94.59,1,66.82,72.98,86.08,36.12,32.18,70,66.66,817,3.84,Medium,No
EV-41ED565A,BATCH_D,31.37,402.54,989,63.4,6,249.73,51.48,81.14,50.99,18.07,69,61.86,714,23.28,Medium,No
EV-482F1268,BATCH_C,60.74048696270242,404.36,1800,59.44,7,145.05,68.24,70.0,79.21849309970585,40.96,110,15.54,50,39.56,Critical,Yes
EV-922EB4FF,BATCH_B,41.94,385.05,1316,94.06,5,-32.95,60.09,85.58,39.3,30.97,103,49.81,563,16.45,High,Yes
EV-38004FCE,BATCH_A,58.44,383.81,464,88.97,0,-50.13,69.8,96.04,22.75,44.77,17,65.67,1004,3.42,Medium,No
EV-53BAA59F,BATCH_B,30.59,398.83,1415,66.88,7,-119.79,75.62,75.71,62.42,19.27,97,49.18,503,22.64,High,Yes
EV-CAEDFF39,BATCH_A,49.61,393.64,925,71.96,4,82.78,80.82,87.26,39.27,35.84,51,57.37,757,17.21,High,No
EV-8C2C8617,BATCH_A,53.46,391.93,1400,93.57,5,179.94,54.63,82.48,49.78,40.5,93,38.73,441,19.44,Critical,Yes
EV-D427C75E,BATCH_C,43.18942925658634,405.57,1800,85.47,7,207.66,73.36,74.20762820769602,72.29651599928613,31.42,106,32.64,271,23.54,Critical,Yes
EV-30485FAC,BATCH_D,32.96,383.96,746,79.25,6,-86.41,85.29,85.13,39.4,21.07,58,67.55,838,20.81,Medium,No
EV-4019AE53,BATCH_C,41.672321570675365,399.47,785,52.33,7,100.24,70.82,87.00800812783108,37.62183677979456,17.47,11,64.38,815,48.4,Medium,No
EV-D35BE1AF,BATCH_B,43.0,393.35,821,50.36,2,-12.57,28.44,89.4,29.59,32.81,61,66.34,899,7.64,Medium,No
EV-1CEF5BF1,BATCH_D,25.95,401.92,1173,54.61,7,-24.66,81.67,81.8,49.22,17.12,88,55.86,631,17.66,High,No
EV-793DC49C,BATCH_B,27.68,398.31,694,57.39,2,-9.52,34.91,91.35,28.54,17.05,48,83.45,1120,7.97,Low,No
EV-E6B91222,BATCH_B,46.67,383.01,1664,83.86,7,85.83,46.88,75.69,59.62,40.8,117,33.92,234,11.74,Critical,Yes
EV-7F78A4BE,BATCH_D,29.15,396.6,601,77.0,3,93.04,74.53,90.21,31.58,23.31,40,76.36,1025,5.84,Medium,No
EV-53040EF4,BATCH_A,40.63,402.44,1500,63.3,3,-128.17,82.85,86.81,40.46,30.53,108,56.05,646,10.1,High,No
EV-113D8F66,BATCH_B,33.61,382.13,1003,89.99,1,-145.17,45.28,93.01,29.66,22.23,63,77.26,990,5.69,Medium,No
EV-7B9A2562,BATCH_C,43.465325692727674,402.88,774,92.95,7,158.15,21.17,83.7617313806281,46.26468859588205,25.96,16,59.97,790,35.01,High,No
EV-D1556C33,BATCH_D,36.73,399.22,964,74.19,6,-88.93,25.85,85.49,40.53,27.71,64,66.15,810,15.78,Medium,No
EV-5DC37F86,BATCH_A,40.0,399.03,934,87.55,2,122.42,24.63,93.51,25.52,31.09,65,75.53,991,6.68,Medium,No
EV-81DB16F6,BATCH_D,36.58,383.48,1288,77.55,0,-127.99,66.63,87.96,36.11,22.33,93,68.65,840,3.56,Medium,No
EV-B2EBEB03,BATCH_B,42.68,408.59,236,73.54,2,163.19,70.45,96.22,20.78,36.04,15,82.1,1233,4.98,Low,No
EV-ADBB6AEE,BATCH_B,43.17,407.0,678,65.08,4,21.73,56.67,92.09,30.37,36.99,47,69.27,941,7.72,Medium,No
EV-970D5CC1,BATCH_C,52.72328953257985,381.66,1800,88.67,5,-83.25,31.01,75.59221626674133,47.56404423153251,29.88,91,32.53,258,34.26,Critical,Yes
EV-E7246CA0,BATCH_A,25.02,407.61,116,58.05,3,234.14,22.48,95.55,24.45,16.38,5,89.07,1311,8.64,Low,No
EV-D1DEB848,BATCH_D,39.69,388.14,550,53.5,3,-0.88,55.14,88.68,32.82,27.49,28,75.77,1044,12.2,Medium,No
EV-7031B8C1,BATCH_A,49.31,393.95,428,62.7,0,187.94,42.91,99.8,15.0,43.62,22,81.71,1192,1.42,Low,No
EV-DBF2A8CA,BATCH_D,36.6,402.19,250,60.92,3,-2.69,88.03,93.29,29.07,23.75,1,86.97,1190,12.85,Low,No
EV-409A9AD4,BATCH_B,33.84,380.72,1445,74.37,3,104.38,68.54,86.63,42.27,19.52,93,62.36,726,14.32,Medium,No
EV-14380AE8,BATCH_A,52.74,383.12,554,73.84,6,-54.73,54.44,87.8,37.89,40.47,42,53.23,730,21.47,High,No
EV-38F0DD4C,BATCH_A,23.63,405.37,409,68.59,1,208.23,52.09,95.11,26.31,16.32,18,89.56,1245,3.65,Low,No
EV-93195C12,BATCH_A,43.06,397.76,986,52.8,2,114.98,29.15,90.47,26.77,34.12,74,70.14,866,6.71,Medium,No
EV-B07D5A90,BATCH_C,61.16936982468863,389.54,1106,62.24,7,-120.13,34.19,79.09589448678064,50.71374980699768,36.02,33,32.22,430,50.3,Critical,Yes
EV-CE8BF70E,BATCH_D,45.73,386.23,738,63.87,1,-44.0,28.39,91.49,31.29,31.08,40,70.74,977,7.32,Medium,No
EV-F2CF1B31,BATCH_B,35.02,384.45,1441,82.0,0,237.36,47.74,88.15,34.16,21.45,103,70.91,824,3.39,Medium,No
EV-6E4815E6,BATCH_A,46.34,408.56,1235,88.46,4,72.38,58.51,80.88,49.2,39.6,86,51.46,601,8.43,High,No
EV-B60B593C,BATCH_A,24.26,403.43,810,60.0,2,-70.75,48.04,89.7,33.18,18.64,59,76.24,1038,4.22,Medium,No
EV-79B10BE7,BATCH_A,48.27,409.91,1238,58.9,4,108.39,76.65,84.73,43.86,42.52,74,53.79,646,7.19,High,No
EV-6CD2AEFF,BATCH_A,25.89,385.04,1599,75.82,1,178.67,47.65,84.73,42.6,16.28,115,62.28,691,4.8,Medium,No
EV-686740BD,BATCH_A,39.7,388.25,844,70.07,2,-90.55,62.99,91.56,30.58,25.62,48,75.11,990,10.56,Medium,No
EV-734896D9,BATCH_B,37.87,381.83,1185,62.59,7,-95.11,33.96,80.28,47.16,27.36,82,56.32,633,21.02,High,No
EV-92F691B0,BATCH_B,57.5,390.77,1288,74.5,0,43.87,83.89,91.26,25.23,44.68,80,57.11,739,3.21,High,No
EV-7FC732FF,BATCH_C,36.46684385310354,380.88,1159,86.48,6,-37.63,76.61,77.89394253188654,45.69979861733502,15.78,49,59.42,664,36.2,High,No
EV-E38DAB25,BATCH_A,43.92,402.11,545,84.38,4,229.12,60.3,88.5,39.91,31.01,31,66.27,910,16.14,Medium,No
EV-FCE63383,BATCH_D,30.28,402.14,678,66.15,2,86.62,69.24,93.23,28.4,22.1,45,81.65,1104,6.13,Low,No
EV-74DF0E46,BATCH_C,48.6743642012748,409.64,1448,89.67,4,46.89,41.63,84.60376641916761,41.86808941691577,31.89,72,48.85,593,20.98,High,Yes
EV-FB215B90,BATCH_D,47.6,385.32,219,86.11,3,197.29,24.17,96.1,24.52,39.19,0,77.13,1115,8.41,Medium,No
EV-84013D6A,BATCH_B,54.0,408.82,1022,66.81,1,226.77,47.69,93.32,24.95,40.39,75,59.63,791,6.8,High,No
EV-BD1FDBB9,BATCH_A,25.67,408.46,720,85.63,5,234.26,65.44,86.73,39.99,19.09,43,71.3,933,9.87,Medium,No
EV-3EF2703F,BATCH_B,32.59,385.26,1417,63.81,5,125.4,28.91,84.28,44.73,21.7,90,59.58,687,16.34,High,No
EV-57192A67,BATCH_A,53.23,397.02,1411,58.19,6,-22.71,76.62,82.05,45.45,40.52,89,40.72,459,22.24,High,Yes
EV-B67DC8CB,BATCH_B,49.51,402.36,1311,60.71,1,242.95,31.75,87.05,41.49,43.1,81,54.93,676,3.2,High,No
EV-3657CAC9,BATCH_A,22.44,400.8,1481,65.77,7,164.81,70.43,77.31,56.63,15.34,105,47.68,444,14.2,High,Yes
EV-7CABA164,BATCH_A,57.92,394.79,862,67.04,6,68.41,27.1,87.43,36.35,44.07,49,44.41,568,24.24,High,Yes
EV-367169B3,BATCH_D,25.62,405.37,1545,63.27,3,-22.51,86.62,81.56,46.16,19.88,100,62.9,703,5.74,Medium,No
EV-A9DE92B5,BATCH_A,25.58,408.26,653,94.01,6,-14.82,88.97,84.61,47.72,19.83,43,69.01,876,10.06,Medium,No
EV-02CE6B5C,BATCH_D,49.92,406.69,1145,57.07,6,-109.5,34.39,76.89,61.95,43.27,90,37.13,361,11.64,Critical,Yes
EV-EC99F3B5,BATCH_B,42.79,382.88,957,67.68,4,69.87,54.37,88.36,41.22,34.82,52,65.93,849,9.96,Medium,No
EV-EA3F757D,BATCH_A,30.87,398.75,603,71.61,6,-111.21,34.49,87.59,39.46,17.63,46,72.61,948,23.17,Medium,No
EV-6B3D8F17,BATCH_C,40.06881220542047,394.67,807,79.75,4,-113.55,58.09,88.48417058842068,33.846169246978754,24.25,10,69.72,934,19.77,Medium,No
EV-AE61ED83,BATCH_D,50.75,384.53,892,81.34,3,-111.32,66.77,84.9,42.49,40.11,59,52.08,661,10.64,High,No
EV-848811D6,BATCH_D,45.02,404.55,1503,68.84,3,64.21,80.68,83.55,47.94,31.61,96,52.56,548,13.41,High,No
EV-1F00178E,BATCH_D,32.92,405.62,1046,51.56,7,78.49,56.18,79.3,54.83,23.97,73,56.18,632,17.9,High,No
EV-DEFE9568,BATCH_B,50.14,386.36,459,58.67,2,-132.93,25.49,94.42,23.29,43.47,15,72.5,1024,5.0,Medium,No
EV-A369619B,BATCH_D,36.86,404.22,425,53.92,4,72.55,58.64,89.54,34.82,24.59,25,74.85,1036,15.34,Medium,No
EV-13C5C053,BATCH_C,60.70934133281388,395.68,1327,68.88,2,15.78,30.37,80.36316240522677,43.629904428254484,38.6,66,40.01,511,16.58,High,Yes
EV-44EF2D6D,BATCH_C,58.00973958431577,399.64,1800,75.74,7,39.22,32.05,70.35207255768968,70.8595763167362,41.34,111,17.78,64,33.34,Critical,Yes
EV-596485C5,BATCH_B,47.11,404.52,365,63.64,4,-37.86,54.41,91.34,30.96,41.91,6,69.48,989,6.5,Medium,No
EV-F5CCB1F0,BATCH_A,36.45,403.22,1498,64.44,2,141.52,62.35,81.85,51.77,24.01,111,55.88,588,9.33,High,No
EV-52466714,BATCH_A,51.47,394.53,564,73.24,3,-0.44,23.93,89.58,35.89,42.4,24,62.15,905,9.07,Medium,No
EV-DE8540E9,BATCH_B,32.58,406.38,305,51.3,6,-72.89,78.31,87.54,38.4,19.07,8,76.23,1086,23.64,Medium,No
EV-B3A7C093,BATCH_A,25.12,385.97,438,66.58,7,35.69,47.79,83.97,45.01,16.52,31,71.07,938,17.2,Medium,No
EV-85154D3A,BATCH_A,37.11,385.33,1109,89.17,3,84.75,44.48,86.1,40.22,26.17,87,64.2,773,10.94,Medium,No
EV-6BB35A9B,BATCH_B,32.42,384.89,1466,75.75,1,235.97,80.0,88.28,40.91,23.55,107,65.12,729,4.44,Medium,No
EV-5A23BB07,BATCH_B,44.68,405.94,1187,93.52,4,122.88,53.19,84.22,49.09,34.55,86,50.34,629,12.66,High,No
EV-0D198C1D,BATCH_B,32.79,408.29,1122,82.07,0,133.75,39.28,94.01,24.87,21.71,82,78.84,1041,2.77,Medium,No
EV-34FAAD46,BATCH_D,32.23,400.32,1536,87.09,7,8.86,27.16,76.44,57.79,22.56,109,46.24,415,19.34,High,Yes
EV-239F0142,BATCH_C,37.64146907926497,381.92,1558,94.48,6,106.24,80.3,76.44070703645843,61.48474388303623,23.95,71,48.37,469,23.96,High,Yes
EV-9BE3644E,BATCH_A,46.63,401.64,1593,79.49,6,248.99,38.16,78.62,51.08,34.82,103,40.46,408,20.67,High,Yes
EV-0192F233,BATCH_D,47.44,404.48,860,65.44,0,135.35,68.04,88.85,36.19,32.49,51,68.99,890,3.74,Medium,No
EV-774E1BB6,BATCH_D,53.77,406.29,1625,58.15,4,-110.96,28.96,84.09,45.01,40.36,116,37.63,392,16.76,Critical,Yes
EV-F69D6D28,BATCH_C,65.0,399.63,1800,60.0,5,-60.67,81.0,78.65440764594297,53.28051121650343,43.41,92,23.85,184,32.39,Critical,Yes
EV-CB7E2653,BATCH_A,36.12,383.59,797,80.63,1,61.94,48.92,92.27,26.34,29.17,60,78.37,1020,3.47,Medium,No
EV-6D0EE81B,BATCH_B,37.97,407.2,356,70.59,5,-23.45,70.1,88.42,38.7,27.28,17,76.86,1055,16.03,Medium,No
EV-0B5AA5D4,BATCH_A,29.98,393.56,964,59.42,2,159.42,60.34,86.92,38.35,24.4,62,75.62,949,4.19,Medium,No
EV-77680C77,BATCH_B,44.76,392.1,839,93.44,2,3.33,22.64,94.79,25.34,33.43,62,69.1,933,8.5,Medium,No
EV-E4D183C3,BATCH_B,54.33,395.93,1357,50.81,0,-148.35,71.35,88.96,34.94,41.76,93,54.4,694,3.14,High,No
EV-86D72062,BATCH_B,27.71,397.66,1282,57.52,4,179.54,40.87,82.03,45.28,18.87,88,58.29,680,11.05,High,No
EV-C25F0ED4,BATCH_C,46.52883508891496,384.01,1418,94.83,7,46.07,72.51,74.93581715164174,60.56168828136321,28.01,58,40.32,460,37.04,High,Yes
EV-F4B3DFEE,BATCH_B,30.8,403.76,385,66.88,2,106.13,73.99,93.92,27.82,18.69,27,85.85,1188,9.08,Low,No
EV-8B8AA3FB,BATCH_A,39.81,400.69,986,68.75,1,2.1,58.31,92.19,28.74,34.61,76,72.72,948,2.6,Medium,No
EV-FFAB299F,BATCH_D,47.16,389.03,1196,79.77,3,114.99,38.9,84.41,45.57,35.86,89,51.62,601,11.3,High,No
EV-9666BDCD,BATCH_B,36.33,394.93,739,77.41,1,161.18,78.2,93.49,25.14,23.48,53,80.47,1079,6.42,Low,No
EV-FFCFC65E,BATCH_B,30.29,407.31,799,80.97,4,42.27,36.42,89.8,34.65,19.81,45,73.87,982,13.1,Medium,No
EV-5CD6B95F,BATCH_A,51.75,384.47,1115,54.05,1,54.68,70.65,92.06,30.67,40.06,85,58.81,742,5.84,High,No
EV-DD18F1B4,BATCH_A,43.47,387.92,1561,52.25,3,175.27,81.19,80.58,49.99,28.7,115,48.01,492,14.77,High,Yes
EV-92F3BF71,BATCH_C,49.81512276356375,402.75,1145,52.07,7,190.8,66.43,70.63910843507892,55.8930939858016,37.16,46,40.09,440,25.31,High,Yes
EV-BCFB4DB6,BATCH_A,27.41,393.7,789,87.61,2,125.96,53.48,90.7,28.1,18.41,47,76.08,1014,6.75,Medium,No
EV-7802A17F,BATCH_D,31.24,409.45,1131,88.0,1,-108.51,83.79,86.73,40.53,18.98,83,72.76,908,6.13,Medium,No
EV-C5719AAB,BATCH_D,29.24,390.76,1565,51.3,7,123.79,78.7,76.53,61.01,20.44,102,49.38,462,17.6,High,Yes
EV-694D3FB7,BATCH_B,51.04,381.9,1031,79.47,1,-145.06,80.78,88.75,35.02,41.63,61,57.83,769,4.7,High,No
EV-E5B7E3A1,BATCH_B,40.26,394.46,1243,79.87,1,106.56,30.41,88.53,36.03,27.99,85,66.21,836,6.13,Medium,No
EV-08DEEF12,BATCH_A,54.25,382.25,142,72.12,7,-53.64,87.91,90.72,29.04,40.56,1,55.97,887,27.38,High,No
EV-FC5B10B6,BATCH_A,34.45,393.77,932,86.06,6,29.24,79.96,80.93,49.51,27.1,64,58.91,669,12.86,High,No
EV-64BEF8BF,BATCH_D,42.54,392.1,590,51.61,7,69.64,77.81,86.17,41.87,37.36,40,61.43,759,10.36,Medium,No
EV-3684D001,BATCH_C,52.51972625554732,390.23,1800,87.14,7,176.64,79.1,70.0,68.24913500283157,34.64,113,19.56,79,35.76,Critical,Yes
EV-B3D3CCF5,BATCH_A,38.54,408.93,307,63.14,0,58.79,69.15,97.41,20.91,25.24,12,90.28,1270,3.33,Low,No
EV-21C9AF84,BATCH_A,31.38,401.65,1502,54.81,7,94.34,33.13,79.88,51.57,19.21,114,51.5,495,24.34,High,No
EV-F7C4C5A1,BATCH_D,42.58,392.43,608,91.7,3,184.99,61.22,89.76,32.0,36.5,27,70.44,1003,6.08,Medium,No
EV-3D09F573,BATCH_D,48.96,402.09,1047,74.9,2,23.12,60.96,85.67,38.04,43.92,58,60.47,764,3.78,Medium,No
EV-7A6523B1,BATCH_B,43.19,391.62,1402,77.02,2,203.08,55.29,84.12,46.19,36.91,88,54.49,667,4.71,High,No
EV-F7B73542,BATCH_D,35.37,388.83,813,86.22,4,-94.73,62.18,88.87,34.43,26.94,53,76.39,962,10.54,Medium,No
EV-A7D1F0C9,BATCH_C,59.17293580898581,398.98,1800,59.04,7,99.67,40.34,70.0,70.21326452805197,36.36,107,20.07,109,45.63,Critical,Yes
EV-6E6A7EFB,BATCH_C,53.03902803703606,408.28,1605,81.96,7,119.7,82.57,72.78270013790798,54.892721412544724,31.87,90,30.16,239,42.34,Critical,Yes
EV-801FBD37,BATCH_B,35.87,409.51,150,80.75,3,-91.43,24.34,98.49,18.04,23.01,6,89.39,1296,12.86,Low,No
EV-F7CA010B,BATCH_C,46.76119444320131,398.48,1038,80.4,2,74.75,35.7,81.87077696321107,45.72833647778792,25.76,26,61.51,766,15.75,Medium,No
EV-BB7372F4,BATCH_C,48.71341128372306,409.27,1556,64.07,7,70.85,20.91,70.0,69.93629068892787,26.63,88,33.7,280,44.17,Critical,Yes
EV-15B2BA35,BATCH_C,59.65795131855305,388.83,1800,57.98,5,123.06,33.09,76.40801772947356,54.94507814400734,38.28,96,23.66,218,32.07,Critical,Yes
EV-3E5ACA51,BATCH_C,37.566609498588875,408.12,678,51.8,7,221.45,61.78,78.0409181758257,46.61160179719967,15.17,16,66.67,842,44.79,Medium,No
EV-744FE4B0,BATCH_A,53.92,403.59,1412,57.17,3,67.23,48.24,84.86,47.09,43.71,100,42.33,504,10.21,High,Yes
EV-477AC264,BATCH_C,45.39133756735423,408.51,699,77.82,7,39.94,59.29,77.16061532005612,50.43667246284692,24.93,28,55.74,704,40.92,High,No
EV-779DF7AD,BATCH_B,56.93,391.58,274,74.31,6,-36.87,83.79,90.22,35.08,42.48,5,56.45,833,25.29,High,No
EV-8871DE58,BATCH_C,52.27628769906433,399.55,1565,64.41,7,-117.06,26.72,73.75669413783154,60.5347182210372,29.6,65,37.03,323,45.35,Critical,Yes
EV-BACD4730,BATCH_B,34.46,406.36,1587,83.36,1,24.1,77.17,84.9,42.13,21.17,110,63.33,719,6.64,Medium,No
EV-E4626E54,BATCH_A,37.1,382.63,1268,52.44,0,167.69,59.07,91.15,30.06,28.78,95,72.22,897,2.08,Medium,No
EV-7823128C,BATCH_B,37.94,392.99,1574,50.76,6,119.32,57.44,77.81,58.9,26.64,116,48.37,470,19.77,High,Yes
EV-B2415458,BATCH_A,41.76,407.84,1501,54.78,0,164.76,41.09,88.82,37.84,36.03,96,63.75,729,1.43,Medium,No
EV-3847FA53,BATCH_A,38.46,394.22,706,74.01,6,-95.45,47.37,86.34,38.74,26.85,36,65.92,873,20.32,Medium,No
EV-2F11C39A,BATCH_C,59.99524187764279,403.85,1579,82.82,6,-0.75,86.46,81.407648410665,47.750298390740056,35.32,81,30.74,356,43.18,Critical,Yes
EV-C0FF8C4B,BATCH_D,36.62,407.11,1146,65.47,1,15.06,65.22,89.5,39.45,24.14,68,73.01,873,6.24,Medium,No
EV-25E97D85,BATCH_B,41.04,383.44,384,80.19,3,76.92,23.81,94.02,26.73,33.51,20,80.87,1146,7.53,Low,No
EV-C48F04DC,BATCH_D,29.39,382.95,1315,82.65,1,44.88,43.16,87.34,35.76,23.72,82,69.13,822,2.84,Medium,No
EV-41D0AA05,BATCH_B,29.25,385.8,1190,71.86,1,-18.66,66.16,87.49,39.11,23.55,85,73.78,901,2.85,Medium,No
EV-967E1DCA,BATCH_B,53.82,385.06,1204,64.09,5,164.26,69.85,80.43,51.77,39.23,72,43.89,493,21.89,High,Yes
EV-895A1582,BATCH_D,43.71,394.4,654,70.04,2,159.91,54.09,91.42,30.76,35.39,35,70.64,988,6.24,Medium,No
EV-C8068D73,BATCH_A,53.84,384.2,624,74.24,1,-44.71,82.04,93.13,28.43,40.25,22,64.14,926,6.8,Medium,No
EV-BEB6D140,BATCH_A,51.81,404.38,1204,76.05,0,157.68,34.89,91.41,30.0,40.49,93,60.96,770,2.83,Medium,No
EV-7E22AB23,BATCH_A,41.11,391.77,1023,90.11,7,85.84,80.0,81.92,50.01,34.62,70,49.76,555,12.98,High,Yes
EV-CB8D8AB2,BATCH_B,36.92,399.88,1014,88.16,1,172.62,62.98,87.07,41.23,26.9,59,69.7,934,5.01,Medium,No
